iter	Passed	Remaining
0	65	65303
1	66	33100
2	67	22343
3	68	17038
4	69	13778
5	69	11586
6	70	10014
7	71	8832
8	71	7921
9	72	7211
10	73	6621
11	75	6222
12	76	5796
13	77	5427
14	77	5105
15	78	4830
16	79	4588
17	80	4377
18	196	10126
19	198	9720
20	221	10302
21	225	10024
22	226	9613
23	227	9236
24	227	8889
25	228	8564
26	229	8265
27	230	7992
28	231	7750
29	232	7503
30	232	7273
31	233	7057
32	234	6863
33	234	6676
34	235	6493
35	235	6319
36	236	6154
37	238	6037
38	239	5889
39	239	5748
40	240	5614
41	240	5485
42	241	5363
43	241	5246
44	241	5134
45	242	5027
46	242	4925
47	243	4826
48	244	4736
49	244	4651
50	245	4574
51	246	4493
52	247	4414
53	247	4337
54	248	4266
55	248	4195
56	249	4126
57	250	4060
58	250	3997
59	253	3967
60	254	3910
61	254	3855
62	255	3797
63	255	3741
64	256	3689
65	257	3644
66	258	3601
67	259	3557
68	260	3516
69	261	3470
70	262	3429
71	262	3388
72	263	3348
73	264	3305
74	265	3269
75	265	3231
76	267	3212
77	268	3177
78	269	3141
79	270	3108
80	271	3077
81	272	3046
82	272	3010
83	273	2983
84	274	2957
85	275	2929
86	276	2899
87	276	2869
88	277	2839
89	278	2811
90	278	2784
91	279	2756
92	279	2728
93	280	2700
94	280	2673
95	281	2647
96	281	2621
97	282	2597
98	282	2572
99	283	2550
100	283	2526
101	284	2505
102	285	2484
103	286	2467
104	286	2445
105	287	2424
106	287	2403
107	288	2382
108	288	2361
109	289	2341
110	289	2321
111	290	2301
112	290	2283
113	291	2266
114	292	2250
115	293	2234
116	293	2217
117	294	2202
118	295	2186
119	295	2170
120	296	2154
121	297	2138
122	298	2126
123	299	2113
124	299	2099
125	300	2084
126	301	2070
127	301	2057
128	302	2043
129	303	2030
130	304	2016
131	304	2004
132	306	2000
133	307	1986
134	308	1975
135	309	1963
136	309	1951
137	310	1938
138	311	1926
139	312	1916
140	313	1907
141	313	1896
142	314	1885
143	315	1873
144	315	1862
145	316	1852
146	317	1842
147	318	1833
148	320	1830
149	321	1819
150	321	1809
151	322	1798
152	323	1788
153	323	1777
154	324	1767
155	324	1757
156	325	1747
157	326	1737
158	326	1727
159	327	1718
160	327	1708
161	328	1700
162	329	1690
163	329	1681
164	330	1672
165	331	1663
166	331	1654
167	332	1644
168	332	1636
169	333	1627
170	334	1619
171	336	1618
172	336	1610
173	337	1602
174	338	1594
175	338	1586
176	339	1579
177	340	1572
178	341	1565
179	342	1558
180	343	1553
181	344	1546
182	344	1539
183	345	1531
184	346	1524
185	346	1517
186	347	1511
187	348	1504
188	350	1502
189	351	1496
190	351	1489
191	352	1482
192	352	1475
193	353	1469
194	354	1464
195	355	1458
196	356	1452
197	357	1447
198	358	1442
199	359	1436
200	359	1429
201	360	1422
202	361	1417
203	361	1411
204	362	1405
205	364	1404
206	364	1397
207	365	1391
208	366	1385
209	366	1379
210	367	1374
211	368	1368
212	368	1362
213	369	1356
214	369	1350
215	370	1344
216	371	1339
217	372	1334
218	372	1329
219	373	1323
220	373	1318
221	374	1312
222	375	1307
223	375	1301
224	376	1296
225	377	1291
226	378	1290
227	379	1286
228	380	1281
229	381	1277
230	382	1273
231	383	1269
232	384	1265
233	385	1261
234	386	1258
235	387	1254
236	388	1249
237	388	1245
238	389	1241
239	390	1237
240	391	1233
241	393	1232
242	394	1228
243	395	1224
244	395	1219
245	396	1215
246	397	1211
247	398	1206
248	398	1202
249	399	1198
250	400	1194
251	401	1191
252	402	1187
253	402	1183
254	403	1179
255	404	1175
256	405	1171
257	405	1167
258	406	1163
259	408	1162
260	408	1158
261	409	1153
262	410	1149
263	410	1145
264	411	1141
265	412	1137
266	412	1133
267	413	1129
268	414	1125
269	414	1121
270	415	1118
271	416	1115
272	417	1111
273	417	1107
274	418	1103
275	419	1099
276	419	1095
277	420	1091
278	420	1087
279	421	1084
280	422	1082
281	423	1078
282	424	1075
283	425	1071
284	426	1068
285	426	1065
286	427	1062
287	428	1059
288	430	1058
289	430	1054
290	431	1051
291	432	1047
292	432	1044
293	433	1041
294	434	1038
295	436	1039
296	437	1035
297	438	1033
298	439	1029
299	440	1026
300	441	1024
301	441	1021
302	442	1018
303	443	1015
304	444	1013
305	445	1009
306	445	1006
307	446	1003
308	447	1000
309	448	997
310	448	994
311	449	991
312	450	988
313	450	985
314	451	981
315	452	978
316	452	975
317	453	972
318	453	969
319	454	965
320	455	962
321	455	959
322	456	956
323	457	953
324	458	951
325	458	948
326	459	945
327	460	942
328	460	939
329	461	936
330	461	933
331	462	930
332	463	928
333	465	928
334	465	925
335	466	921
336	467	919
337	467	916
338	468	913
339	469	911
340	470	908
341	470	906
342	471	903
343	472	901
344	473	898
345	474	896
346	475	893
347	475	891
348	476	888
349	477	886
350	479	887
351	480	884
352	481	881
353	481	879
354	482	877
355	483	874
356	484	872
357	484	869
358	485	867
359	486	865
360	487	862
361	488	860
362	488	858
363	489	856
364	490	853
365	491	850
366	491	848
367	492	845
368	493	843
369	494	841
370	494	838
371	495	836
372	496	833
373	496	831
374	497	828
375	497	826
376	498	824
377	499	821
378	500	820
379	501	817
380	501	815
381	502	812
382	502	810
383	503	807
384	504	805
385	504	802
386	505	800
387	506	798
388	508	798
389	508	795
390	509	793
391	510	791
392	510	789
393	511	787
394	512	785
395	513	783
396	514	781
397	515	779
398	516	777
399	516	775
400	517	773
401	518	771
402	519	769
403	520	767
404	520	765
405	522	764
406	523	763
407	524	761
408	525	759
409	526	757
410	526	755
411	527	752
412	528	750
413	529	749
414	530	748
415	531	746
416	532	744
417	533	742
418	533	740
419	534	737
420	534	735
421	536	735
422	537	733
423	537	730
424	538	728
425	538	726
426	539	724
427	540	721
428	540	719
429	541	717
430	541	714
431	542	712
432	542	710
433	543	708
434	543	706
435	544	704
436	545	702
437	546	700
438	546	698
439	547	696
440	547	694
441	548	692
442	548	689
443	549	687
444	549	685
445	550	683
446	553	685
447	554	683
448	555	681
449	555	679
450	556	677
451	557	675
452	558	673
453	559	672
454	560	670
455	560	669
456	561	666
457	561	665
458	564	665
459	565	663
460	565	661
461	566	659
462	567	658
463	568	656
464	568	654
465	569	652
466	570	650
467	571	649
468	572	647
469	572	645
470	573	644
471	574	642
472	575	640
473	575	638
474	576	636
475	576	634
476	578	634
477	579	632
478	579	630
479	580	628
480	580	626
481	581	624
482	581	622
483	582	620
484	582	618
485	583	616
486	583	614
487	584	612
488	584	611
489	585	609
490	586	607
491	586	606
492	587	604
493	588	602
494	588	600
495	589	598
496	589	596
497	590	595
498	591	593
499	591	591
500	591	589
501	593	588
502	594	587
503	595	585
504	595	583
505	596	582
506	596	580
507	597	578
508	598	577
509	599	575
510	599	574
511	600	572
512	601	571
513	602	569
514	603	568
515	603	566
516	604	564
517	606	564
518	607	562
519	608	561
520	608	559
521	609	558
522	610	556
523	610	554
524	611	553
525	612	552
526	613	550
527	614	549
528	615	547
529	615	546
530	616	544
531	617	542
532	617	541
533	618	539
534	619	538
535	620	537
536	621	535
537	621	533
538	622	532
539	622	530
540	623	529
541	624	527
542	624	525
543	625	524
544	625	522
545	626	521
546	627	519
547	628	518
548	629	516
549	629	515
550	630	513
551	630	511
552	631	510
553	631	508
554	632	507
555	633	505
556	635	505
557	635	503
